,52WeekChange,SandP52WeekChange,annualHoldingsTurnover,annualReportExpenseRatio,auditRisk,beta,beta3Year,boardRisk,bookValue,category,compensationRisk,currentPrice,currentRatio,dateShortInterest,debtToEquity,earningsGrowth,earningsQuarterlyGrowth,ebitda,ebitdaMargins,enterpriseToEbitda,enterpriseToRevenue,enterpriseValue,financialCurrency,fiveYearAverageReturn,floatShares,forwardEps,forwardPE,freeCashflow,fullTimeEmployees,fundFamily,fundInceptionDate,grossMargins,grossProfits,heldPercentInsiders,heldPercentInstitutions,industry,lastCapGain,lastDividendValue,lastFiscalYearEnd,lastSplitDate,lastSplitFactor,legalType,maxAge,maxAge_finData,morningStarOverallRating,morningStarRiskRating,mostRecentQuarter,netIncomeToCommon,nextFiscalYearEnd,numberOfAnalystOpinions,operatingCashflow,operatingMargins,overallRisk,pegRatio,priceHint,priceToBook,priceToSalesTrailing12Months,profitMargins,profitMargins_finData,quickRatio,recommendationKey,recommendationMean,returnOnAssets,returnOnEquity,revenueGrowth,revenuePerShare,revenueQuarterlyGrowth,sector,shareHolderRightsRisk,sharesOutstanding,sharesPercentSharesOut,sharesShort,sharesShortPreviousMonthDate,sharesShortPriorMonth,shortPercentOfFloat,shortRatio,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,threeYearAverageReturn,totalAssets,totalCash,totalCashPerShare,totalDebt,totalRevenue,trailingEps,yield,ytdReturn
FIVE,1.3845832,0.17144,,,1.0,0.014546,,5.0,8.593,,7.0,116.47,2.929,1534291200,,1.6,1.598,204570000,0.15248,30.15,4.597,6167766528,USD,,54367885,3.0,38.823334,81336872,2700.0,,,0.36288,463413000,0.02229,1.03999,Specialty Retail,,,1517616000,,,,1,86400,,,1525478400,115864000,1580688000,15,166648992,0.1262,5.0,1.86,2,13.554055,,0.08636,0.08636,1.518,buy,2.2,0.16381,0.28187,0.272,24.241,,Consumer Cyclical,6.0,55630100,0.0587,3267084,1531440000,4614159,0.0687,4.01,117.0,80.0,104.47,105.0,,,274203008,4.929,0,1341649024,2.077,,
FIZZ,-0.0055526495,0.17144,,,1.0,0.927927,,10.0,7.216,,9.0,117.84,3.372,1534291200,,0.242,0.25,217414000,0.22282,24.065,5.362,5232165376,USD,,11701644,4.3,27.40465,95214872,1500.0,,,0.40085998,391135000,0.74939,0.24441999,Beverages - Soft Drinks,,,1524873600,1180569600,120/100,,1,86400,,,1524873600,149774000,1588032000,3,154720992,0.20927,9.0,1.19,2,16.330376,,0.1535,0.1535,2.62,hold,2.7,0.31401,0.5191,0.152,20.939,,Consumer Defensive,8.0,46625200,0.051599998,2407467,1531440000,2766476,0.2061,13.76,155.0,45.0,106.67,120.0,,,189864000,4.073,0,975734016,3.19,,
FL,0.34259772,0.17144,,,2.0,0.568971,,5.0,21.196,,5.0,49.3,3.501,1534291200,4.996,0.931,0.725,921000000,0.11677,5.307,0.62,4887308800,USD,,116137438,4.84,10.18595,,15141.0,,,0.42589,3337000000,0.23669,0.08976,Footwear & Accessories,,,1517616000,644198400,2/1,,1,86400,,,1533340800,306000000,1580688000,20,,0.09421,6.0,1.29,2,2.3259106,,0.0388,0.0388,1.318,buy,2.3,0.11941,0.11384,0.048,65.67,,Consumer Cyclical,7.0,116909000,0.1069,12498453,1531440000,10412185,0.1191,5.22,70.0,40.0,55.55,57.0,,,950000000,8.113,124000000,7887000064,2.537,,
FLEX,-0.16807741,0.17144,,,1.0,0.933564,,1.0,5.837,,1.0,13.79,1.242,1534291200,93.911,-0.047,-0.07,1061236992,0.04104,8.477,0.348,8996158464,USD,,495250267,1.52,9.072369,-155024128,200000.0,,,0.06318,1662727000,0.009380001,0.97196,Contract Manufacturers,,,1522454400,971740800,2/1,,1,86400,,,1530230400,419859008,1585612800,11,777545984,0.020299999,1.0,0.61,2,2.362515,,0.016239999,0.016239999,0.61,buy,1.8,0.02401,0.14187,0.069,48.827,,Technology,4.0,532761984,0.0128999995,6870491,1531440000,6070456,0.0145000005,1.4,20.0,14.0,17.82,18.0,,,1254638976,2.355,2919992064,25856815104,0.79,,
FLR,0.49028754,0.17144,,,1.0,1.430085,,4.0,21.63,,6.0,57.41,1.454,1534291200,51.994,,,775323008,0.0394,10.493,0.413,8135077376,USD,,139852598,3.5,16.402857,220340880,56706.0,,,0.0358,618490000,0.00487,0.90261,Engineering & Construction,,,1514678400,1216252800,2/1,,1,86400,,,1530316800,252032992,1577750400,14,41445000,0.027929999,3.0,0.58,2,2.654184,,0.01281,0.01281,1.313,buy,2.4,0.03746,0.09632,0.036,140.412,,Industrials,2.0,140619008,0.0378,5322162,1531440000,4762348,0.0425,4.09,69.0,50.0,59.5,59.5,,,1783084032,12.68,1655931008,19676538880,1.789,,
FND,0.024193645,0.17144,,,,,,,5.5,,,36.76,1.498,1534291200,29.98,0.9,0.95,178384000,0.113570005,20.968,2.381,3740442624,USD,,44054271,1.22,30.131145,-65309376,3680.0,,,0.4125,,0.032279998,1.02443,Home Improvement Stores,,,1514419200,,,,1,86400,,,1530144000,142948000,1577491200,15,126691000,0.08579001,,1.14,2,6.683636,,0.09101,0.09101,0.172,buy,2.1,0.08166,0.31915,0.262,16.455,,Consumer Cyclical,,97222096,0.0674,6555954,1531440000,6538611,0.2006,4.79,60.0,39.0,48.0,48.0,,,547000,0.006,160298000,1570651008,1.363,,
FNSR,-0.12764126,0.17144,,,1.0,1.245695,,2.0,14.141,,6.0,20.4,4.004,1534291200,45.587,,,121696000,0.09244,15.349,1.419,1867963776,USD,,113737557,1.43,14.265735,-45613624,13000.0,,,0.27723,364973000,0.009190001,1.02254,Communication Equipment,,,1524960000,1254096000,1/8,,1,86400,,,1524960000,-48286000,1588118400,10,171636992,0.01234,4.0,1.75,2,1.4426137,,-0.036679998,-0.036679998,3.121,buy,2.3,0.00396,-0.03031,-0.133,11.562,,Technology,5.0,117156000,0.1467,17185717,1531440000,22121595,0.195,8.8,26.0,17.5,22.1,22.25,,,1197095040,10.416,740155008,1316482944,-0.424,,
FNV,-0.20065743,0.17144,,,2.0,0.206953,,9.0,25.246,,4.0,63.99,8.367,1534291200,,0.153,0.175,521000000,0.77645,23.386,18.158,12184031232,USD,,183208969,1.15,55.643482,-510062496,32.0,,,0.81207,533000000,0.020130001,0.77752,Gold,,,1514678400,,,,1,86400,,,1530316800,221700000,1577750400,6,491100000,0.39716998,7.0,8.52,2,2.534659,,0.33040002,0.33040002,6.251,hold,2.8,0.0353,0.047810003,-0.015,3.61,,Basic Materials,3.0,186179008,0.0128,2382739,1531440000,1964945,,5.05,93.0,68.0,81.27,82.32,,,72100000,0.387,0,671000000,1.179,,
FOLD,-0.04958099,0.17144,,,2.0,1.386161,,5.0,2.972,,7.0,13.48,10.88,1534291200,30.155,,,-206744992,0.0,-10.663,34.659,2204613376,USD,,157449099,-0.83,-16.240963,-188348368,325.0,,,0.84043,30694000,0.00667,1.20172,Biotechnology,,,1514678400,,,,1,86400,,,1530316800,-292624000,1577750400,6,-230244000,-3.3116,6.0,-0.06,2,4.5356665,,0.0,0.0,10.461,buy,1.9,-0.14919,-0.70615,1.977,0.368,,Healthcare,7.0,189135008,0.136,25730920,1531440000,26395013,0.1376,13.9,31.0,15.0,20.83,20.0,,,538952000,2.85,169440000,63608000,-1.691,,
FOMX,0.09055877,0.17144,,,,2.60085,,,1.079,,,5.66,3.722,1534291200,,,,-78662000,0.0,-2.246,46.313,176637120,USD,,26722074,-1.61,-3.5155277,-40574752,71.0,,,0.99658996,,0.15105,0.58222,Biotechnology,,,1514678400,,,,1,86400,,,1530316800,-79549000,1577750400,5,-68916000,-20.70215,,,2,5.245598,,0.0,0.0,3.688,buy,2.0,-0.57229,-1.09874,0.208,0.1,,Healthcare,,40777800,0.0293,1195561,1531440000,1147886,0.0366,7.55,30.0,9.0,16.4,15.0,,,54165000,1.328,0,3814000,-2.086,,
