,Underlying,quarter,timestamp,industry,sector,earnBeatsBefore,earnMissBefore,PostEarningsReturn,1Year,6month,3month,1month,current_ratio,total_debt_equity_ratio,day_sales_outstanding,total_liabilities_total_assets,gross_margin,operating_margin,interest_coverage_ratio,net_profit_margin,roe,changeInCash,changeToLiabilities,changeToNetincome,changeToOperatingActivities,return_factor
604,FDS,11/30/2017,3/27/2018,Capital Markets,Financial Services,1,0,-0.040129741,0.188196684,0.245418421,0.099078823,0.017344121,2.035289029,0.359375084,165.7497046,0.60398708,0.525569278,0.295822338,0.295822338,0.182315808,0.295822338,0.169325891,-0.007779772,0.148693579,0.222741107,down
1177,PAYX,11/30/2017,10/3/2017,Business Services,Industrials,1,0,0.035800211,0.033523415,0.023442847,0.058022289,0.048011214,1.094909911,2.806718798,254.9816357,0.744891397,0.715842311,0.42238002,0.42238002,0.278893242,0.42238002,0.212457338,-0.003382843,0.376207199,0.095168801,flat
1147,ORCL,11/30/2017,3/20/2018,Software - Infrastructure,Technology,1,0,-0.099070852,0.137757337,0.065859664,0.035066746,0.024452771,3.625778701,0.361443199,142.6706215,0.578089328,0.789593992,0.321867857,0.321867857,0.240557309,0.321867857,-0.021715679,0.009361526,0.275565611,0.084526348,down
1272,RHT,11/30/2017,3/27/2018,Software - Application,Technology,1,0,0.008650179,0.845347155,0.440169332,0.243320068,0.03418226,1.298768923,1.282415001,211.1465117,0.698161006,0.852469396,0.186020695,0.186020695,0.133902441,0.186020695,-0.016647828,-0.011906934,0.512063928,-0.082129661,flat
501,DVAX,12/31/2017,5/8/2018,Biotechnology,Healthcare,1,0,-0.017910927,2.072727273,-0.224770642,-0.023121387,-0.091397849,15.29179921,0.063047243,5392.358491,0.061484573,-308.754717,-422.4716981,-422.4716981,-417.509434,-422.4716981,-0.874751194,0.107145524,-0.161921547,0.048227944,flat
516,ECYT,12/31/2017,11/7/2017,Biotechnology,Healthcare,0,1,-0.037899273,0.779411765,1.160714286,2.408450704,-0.06743738,24.01340844,0.042723469,311.6089231,0.047654985,-124.8362154,-217.4877846,-217.4877846,-715.9020923,-217.4877846,-0.376231188,-0.194623019,-0.736582286,0.094172621,flat
92,AKAO,12/31/2017,11/9/2017,Biotechnology,Healthcare,1,0,0.043955454,2.252900232,-0.404418012,-0.159976034,0.005017921,6.993245016,0.198953563,151.8197574,0.333825888,-42.87521664,-63.33448873,-63.33448873,-51.83188908,-63.33448873,-0.07926064,-0.002512661,0.09225265,-0.071841033,up
808,IMMU,12/31/2017,11/10/2017,Biotechnology,Healthcare,0,1,0.17205189,3.35,0.462184874,0.338461538,-0.099223469,0.739055118,-2.993942714,240.2786717,1.43941361,-24.21645208,-31.2786876,-31.2786876,-171.9714232,-31.2786876,-0.010109106,0,-0.841408003,0.171138805,up
1128,OCUL,12/31/2017,11/8/2017,Biotechnology,Healthcare,0,1,-0.085428848,0.101727447,-0.3,-0.006920415,-0.055921053,4.792416629,0.304687935,194.0152964,0.442196307,-13.45697897,-25.06118547,-25.06118547,-29.76481836,-25.06118547,-0.232268152,-0.096885206,-0.118455708,-0.119733,down
200,ATHX,12/31/2017,11/9/2017,Biotechnology,Healthcare,0,1,0.032789823,0.153846154,0.258741259,0.176470588,-0.246861925,4.71035675,0.244054925,646.754386,0.196176969,-12.63659148,-18.37593985,-18.37593985,-18.15288221,-18.37593985,-0.012750584,-0.054219708,-0.112384371,0.017317288,flat
