,1Year,1month,3month,6month,PostEarningsReturn,Underlying,accountsPayable,capitalExpenditures,capitalSurplus,cash,changeInCash,changeToAccountReceivables,changeToInventory,changeToLiabilities,changeToNetincome,changeToOperatingActivities,close,commonStock,costOfRevenue,deferredLongTermAssetCharges,deferredLongTermLiab,depreciation,discontinuedOperations,dividendsPaid,ebit,effectOfAccountingCharges,effectOfExchangeRate,epsActual,epsDifference,epsEstimate,epsPos,epsNeg,extraordinaryItems,goodWill,grossProfit,incomeBeforeTax,incomeTaxExpense,intangibleAssets,interestExpense,inventory,investments,longTermDebt,longTermInvestments,maxAge,minorityInterest,minorityInterest_balance,netBorrowings,netIncome,netIncomeApplicableToCommonShares,netIncomeFromContinuingOps,netReceivables,netTangibleAssets,nonRecurring,open,operatingIncome,otherAssets,otherCashflowsFromFinancingActivities,otherCashflowsFromInvestingActivities,otherCurrentAssets,otherCurrentLiab,otherItems,otherLiab,otherOperatingExpenses,otherStockholderEquity,propertyPlantEquipment,quarter,researchDevelopment,retainedEarnings,sellingGeneralAdministrative,shortLongTermDebt,shortTermInvestments,surprisePercent,timestamp,totalAssets,totalCashFromFinancingActivities,totalCashFromOperatingActivities,totalCashflowsFromInvestingActivities,totalCurrentAssets,totalCurrentLiabilities,totalLiab,totalOperatingExpenses,totalOtherIncomeExpenseNet,totalRevenue,totalStockholderEquity,treasuryStock
648,-0.058571811,0.005714286,-0.122194514,0.159802306,-0.141681397,CSTE,58804000,-4423000,150453000,136470000,7071000,168000,-152000,-10789000,7678000,3801000,30.55,371000,104964000,,,7476000,,-9960000,16731000,,135000,0.37,-0.17,0.54,0,1,,37065000,49718000,9410000,1968000,,-1594000,121797000,,8345000,,1,16051000,16051000,-3678000,6943000,6443000,7442000,103970000,438495000,,32.5,16731000,20752000,-559000,-98000,,,,28661000,,1255000,217853000,9/30/2017,1099000,362911000,31888000,18773000,,-0.315,8/2/2017,637907000,-3678000,15125000,-4511000,362237000,109290000,146296000,137951000,-7321000,154682000,475560000,-38175000
649,-0.199434229,-0.062913907,-0.073649755,-0.291614518,-0.094427178,CSTE,64021000,-6900000,151880000,138707000,2237000,1365000,-11350000,4418000,18919000,-2242000,25.75,371000,101797000,3965000,,7509000,,-9960000,12067000,,-26000,0.22,-0.05,0.27,0,1,,37029000,46343000,-5986000,35000,2241000,-531000,132940000,,8336000,,1,16481000,16481000,-3069000,-6385000,-6522000,-6021000,99641000,430625000,,25.1,12067000,19921000,-559000,-3000,3820000,33849000,,30818000,,683000,215829000,12/31/2017,1251000,356391000,33025000,15990000,,-0.185,11/1/2017,652987000,-3069000,12234000,-6902000,377967000,127457000,166611000,136073000,-18053000,148140000,469895000,-38747000
650,-0.319218241,-0.167330677,-0.106837607,-0.3125,0.044451763,CSTE,63755000,-4112000,151910000,112111000,-26596000,-173000,-9863000,-4163000,1977000,-17487000,21.85,371000,101814000,6102000,,7250000,,-9960000,3924000,,43000,0.1,-0.1,0.2,0,1,,36721000,34244000,1967000,511000,1666000,-531000,142357000,,8063000,,1,15326000,15326000,9000000,1493000,1593000,1456000,114302000,423003000,,19.55,3924000,19492000,-559000,-42000,,13455000,,31765000,,522000,214428000,3/31/2018,756000,348017000,29564000,24489000,,-0.5,2/7/2018,641077000,-1519000,-20966000,-4154000,368770000,124533000,164361000,132134000,-1957000,136058000,461390000,-38908000
651,-0.540473225,-0.082089552,-0.11722488,-0.211538462,-0.34245214,CSTE,59610000,-3719000,152293000,104641000,-7470000,-7209000,-13417000,-3449000,3074000,3516000,13.1,371000,100914000,7409000,,7132000,,,15951000,,-182000,0.43,0.18,0.25,1,0,,36057000,48329000,12744000,1703000,1092000,-531000,153780000,,7602000,,1,14959000,14959000,-4218000,11010000,11110000,11041000,121391000,433965000,,15,15951000,18682000,,-11000,,13776000,,30942000,,-1184000,211160000,6/30/2018,885000,359064000,31493000,19726000,,0.72,5/9/2018,646803000,-4218000,657000,-3728000,379812000,122186000,160730000,133292000,-3207000,149243000,471114000,-40614000
652,0.919213207,0.025910627,0.171777825,0.434497243,-0.052025627,CSX,905000000,-507000000,,591000000,-29000000,25000000,,96000000,34000000,124000000,51.87,894000000,1530000000,,,331000000,,-180000000,882000000,,,0.51,0,0.51,0,1,,,1213000000,750000000,291000000,,-132000000,392000000,365000000,11788000000,1506000000,1,15000000,15000000,-19000000,459000000,459000000,459000000,981000000,10887000000,,53.05,882000000,316000000,-7000000,30000000,95000000,458000000,,10808000000,,-334000000,31579000000,9/30/2017,,10327000000,,11807000000,113000000,0,7/19/2017,35573000000,-1212000000,1295000000,-112000000,2172000000,2075000000,24671000000,1861000000,-132000000,2743000000,10887000000,-334000000
653,0.703142627,0.019093539,-0.032942899,0.133176067,0.025965781,CSX,847000000,-578000000,,401000000,-190000000,8000000,,-61000000,-3646000000,-7000000,54.23,890000000,1567000000,,,337000000,,-178000000,959000000,,,0.64,0.08,0.56,1,0,,63000000,1296000000,983000000,-3157000000,,-140000000,372000000,99000000,11790000000,1763000000,1,16000000,16000000,-1000000,4140000000,4140000000,4140000000,970000000,14642000000,,52.26,959000000,234000000,1000000,-34000000,154000000,346000000,,7334000000,,-269000000,31764000000,12/31/2017,,14084000000,,11809000000,18000000,0.143,10/17/2017,35739000000,-385000000,611000000,-416000000,1915000000,1894000000,21018000000,1904000000,24000000,2863000000,14705000000,-269000000
654,0.498195876,0.014308149,0.100321787,0.064262175,-0.007598033,CSX,905000000,-368000000,,1980000000,1579000000,-50000000,,64000000,-9000000,-184000000,57.69,875000000,1534000000,,,323000000,,-194000000,1019000000,,,0.78,0.12,0.66,1,0,,,1342000000,912000000,217000000,,-149000000,369000000,8000000,13768000000,1714000000,1,13000000,13000000,2000000000,695000000,695000000,695000000,1045000000,14378000000,,57.15,1019000000,435000000,-41000000,-8000000,138000000,444000000,,7389000000,,-370000000,31748000000,3/31/2018,,13873000000,,13787000000,10000000,0.18200001,1/17/2018,37439000000,929000000,966000000,-316000000,3542000000,1891000000,23048000000,1857000000,-107000000,2876000000,14378000000,-370000000
655,0.197755664,-0.002116775,-0.026836401,0.07079311,0.075558976,CSX,852000000,-455000000,,1320000000,-660000000,3000000,,-53000000,-45000000,83000000,61.01,859000000,1520000000,,,329000000,,-190000000,1253000000,,,1.01,0.14,0.87,1,0,,,1582000000,1144000000,267000000,,-157000000,326000000,-73000000,13769000000,1741000000,1,14000000,14000000,,877000000,877000000,877000000,1036000000,14009000000,,59.1916,1253000000,455000000,-10000000,,116000000,289000000,,7400000000,,-454000000,31847000000,6/30/2018,,13604000000,,13788000000,83000000,0.161,4/18/2018,36924000000,-1264000000,1043000000,-439000000,2881000000,1732000000,22901000000,1849000000,-109000000,3102000000,14009000000,-454000000
656,0.123595506,0.01551481,-0.092055485,0.012658228,0.009675266,CTB,266033000,-53264000,20949000,258362000,-44024000,-22148000,18862000,-2419000,1704000,-42515000,36.35,87850000,591105000,133455000,,35976000,,-5467000,79388000,,1780000,1.18,0.33,0.85,1,0,,56361000,142738000,94584000,31924000,135776000,-7591000,573731000,,296084000,,1,58920000,58920000,-6034000,61687000,61687000,62660000,527839000,981168000,,36.05,79388000,140465000,-282000,,54028000,86606000,,616528000,,-500454000,926986000,9/30/2017,,2441911000,63350000,333604000,,0.38799998,8/4/2017,2673548000,-43685000,51146000,-53265000,1413960000,528711000,1441323000,654455000,15196000,733843000,1173305000,-1377405000
657,0.011887914,-0.044117647,-0.021887825,-0.060446781,-0.104583817,CTB,277060000,-54119000,20740000,371684000,113322000,87528000,43808000,-5596000,90842000,-16947000,32.2,87850000,632004000,58665000,,33576000,,-5366000,60857000,,-677000,0.5,-0.13,0.63,0,1,,54613000,125031000,38810000,79930000,133256000,-8419000,511757000,,289716000,,1,58660000,58660000,3065000,-42158000,-42158000,-41120000,441813000,939227000,,33.3,60857000,64802000,-7002000,,63063000,59958000,,620639000,,-478478000,966747000,12/31/2017,,2394372000,64174000,336850000,,-0.206,10/30/2017,2607735000,-23171000,191053000,-53883000,1388317000,505353000,1421979000,696178000,-22047000,757035000,1127096000,-1375866000
