,1Year,1month,3month,6month,PostEarningsReturn,Underlying_stats,accountsPayable,capitalExpenditures,capitalSurplus,cash,changeInCash,changeToAccountReceivables,changeToInventory,changeToLiabilities,changeToNetincome,changeToOperatingActivities,close,commonStock,costOfRevenue,deferredLongTermAssetCharges,deferredLongTermLiab,depreciation,discontinuedOperations,dividendsPaid,earnBeatsBefore,earnMissBefore,ebit,effectOfAccountingCharges,effectOfExchangeRate,epsActual,epsDifference,epsEstimate,extraordinaryItems,goodWill,grossProfit,incomeBeforeTax,incomeTaxExpense,intangibleAssets,interestExpense,inventory,investments,longTermDebt,longTermInvestments,maxAge,minorityInterest,minorityInterest_balance,netBorrowings,netIncome,netIncomeApplicableToCommonShares,netIncomeFromContinuingOps,netReceivables,netTangibleAssets,nonRecurring,open,operatingIncome,otherAssets,otherCashflowsFromFinancingActivities,otherCashflowsFromInvestingActivities,otherCurrentAssets,otherCurrentLiab,otherItems,otherLiab,otherOperatingExpenses,otherStockholderEquity,propertyPlantEquipment,quarter,researchDevelopment,retainedEarnings,sellingGeneralAdministrative,shortLongTermDebt,shortTermInvestments,surprisePercent,timestamp,totalAssets,totalCashFromFinancingActivities,totalCashFromOperatingActivities,totalCashflowsFromInvestingActivities,totalCurrentAssets,totalCurrentLiabilities,totalLiab,totalOperatingExpenses,totalOtherIncomeExpenseNet,totalRevenue,totalStockholderEquity,treasuryStock,industry,sector,Underlying
698,0.008095238095238155,0.06062124248496992,-0.022170900692840556,-0.19352380952380943,-0.019557026849085876,CIEN,260098000,-18596000,6810182000,640513000,80973000,14529000,2329000,27843000,-1086144000,-7384000,20.76,1430000,418764000,1155104000,1041000,27308000,,,0.0,1.0,57192000,,-942000,0.46,-0.04,0.5,,267458000,325685000,42525000,-1117531000,100997000,-13926000,267143000,-34164000,583688000,56002000,1,,,-1912000,1160056000,1160056000,1160056000,633887000,1767887000,,21.75,57192000,1212478000,-722000,-1245000,159521000,264918000,,120531000,,-11017000,308465000,2018-01-31,119108000,-4664253000,132058000,1013160000,279133000,-0.08,2017-12-07,3951711000,-2617000,138537000,-54005000,2006311000,1037743000,1815369000,687257000,-14667000,744449000,2136342000,-11017000,Communication Equipment,Technology,CIEN
699,-0.10498084291187748,0.05845038513819656,0.07402298850574707,0.08098102730217493,0.09585486331777184,CIEN,,-6284000,,,3229000,-100494000,15221000,0,43127000,-13497000,25.71,,0,,,26479000,,,1.0,1.0,0,,-2032000,0.15,0.02,0.13,,,0,20331000,0,,-13031000,,10084000,,,1,,,-1954000,0,13856000,13856000,,,,24.7,36425000,,,-875000,,254425000,,,,,,2018-04-30,116924000,,136335000,941288000,,0.154,2018-03-06,,-35091000,37427000,2925000,,,,0,-12159000,0,,,Communication Equipment,Technology,CIEN
700,0.019923696481559894,-0.06744186046511635,0.038411739318083615,0.12011173184357538,-0.04288494110387525,CIEN,264398000,-6284000,6810226000,652096000,3229000,-100494000,15221000,52735000,43127000,-13497000,23.05,1434000,436671000,734824000,,26479000,,,1.0,2.0,36425000,,-2032000,0.23,-0.07,0.3,,267442000,293307000,20331000,6475000,90573000,-13031000,231338000,10084000,585538000,58895000,1,,,-1954000,13856000,13856000,13856000,647380000,1386104000,,24.5,36425000,805591000,,-875000,,243231000,,187142000,,-5072000,298631000,2018-07-31,116924000,-5062469000,136335000,942574000,268584000,-0.233,2018-05-31,3506554000,-35091000,37427000,2925000,1985422000,989755000,1762435000,693553000,-16094000,729978000,1744119000,-5072000,Communication Equipment,Technology,CIEN
701,0.11768184506209334,-0.0005288207297726721,-0.02527075812274382,0.0720363017583665,-0.009035405609599444,CIM,,,,,,,,,,,18.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.78,,,,,,,,,,,,2017-09-30,,,,,,,2017-08-02,,,,,,,,,,,,,REIT - Diversified,Real Estate,CIM
702,0.18810601163542318,-0.03719224724986914,-0.017637626937466733,-0.035170603674540724,-0.0010887317351965606,CIM,754473000,,3825832000,38055000,-130688000,,,17329000,-29525000,2045000,18.36,1878000,10715000,,,,,-103289000,1.0,0.0,0,,,0.62,0.01,0.61,,,154678000,139250000,18000,,,,117191000,7997613000,7305220000,1,,,559036000,139232000,129832000,139232000,13648708000,3646243000,,18.5,142608000,123554000,,,49322000,95000000,,,,813118000,,2017-12-31,,-994585000,12070000,16627200000,,0.016,2017-11-02,21187384000,455747000,125945000,-712380000,13758610000,9543340000,17540953000,22785000,-3358000,165393000,3646243000,813118000,REIT - Diversified,Real Estate,CIM
703,-0.07549234135667404,-0.05639307649357905,-0.05428091773922794,-0.1105263157894738,0.0070755012162002804,CIM,584631000,,3826691000,63569000,25514000,,,-6551000,54484000,23156000,17.02,1878000,10497000,,,,,-103339000,2.0,0.0,0,,,0.62,0.01,0.61,,,111962000,107544000,-64000,,,,-82545000,8080317000,7216144000,1,,,226760000,107608000,98207000,107608000,13779052000,3634789000,,16.9,100021000,101289000,,,13102000,95365000,,,,796902000,,2018-03-31,,-990682000,11941000,16845209000,,0.016,2018-02-14,21222070000,123421000,178090000,-275997000,13904637000,9506776000,17587093000,22438000,7523000,122459000,3634789000,796902000,REIT - Diversified,Real Estate,CIM
704,-0.10469314079422387,-0.0028719126938541173,0.021777516185991885,-0.052918712493180475,0.020525235944730852,CIM,775676000,,3814391000,100752000,37183000,,,275000,-55425000,12501000,17.72,1870000,11334000,,,,,-103305000,2.0,1.0,0,,,0.58,-0.04,0.62,,,244359000,239041000,34000,,,,-10946000,8053181000,7318510000,1,,,-106382000,239007000,229607000,239007000,13718664000,3670555000,,17.47,230459000,94495000,,,5136000,95335000,,,,709244000,,2018-06-30,,-854950000,13900000,16719045000,,-0.065,2018-05-03,21330728000,-224521000,198478000,63226000,13917723000,9606804000,17659985000,25234000,8582000,255693000,3670555000,709244000,REIT - Diversified,Real Estate,CIM
705,-0.027388019427954657,-0.047436575052854146,-0.014894779994534035,0.07532816229116945,0.01623590975538506,CL,,,,,,,,,,,73.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.8,,,,,,,,,,,,2017-09-30,,,,,,,2017-07-21,,,,,,,,,,,,,Household & Personal Products,Consumer Defensive,CL
706,-0.0007016559079429108,-0.026520847573479278,-0.018334711883099097,-0.011521377012770895,-0.011439994830036531,CL,1164000000,-153000000,1932000000,1380000000,139000000,14000000,7000000,100000000,138000000,-2000000,70.4,1466000000,1575000000,265000000,,126000000,,-354000000,0.0,1.0,985000000,,17000000,0.73,0.0,0.73,,2216000000,2399000000,900000000,250000000,1343000000,-27000000,1205000000,-65000000,6522000000,,1,375000000,375000000,7000000,607000000,607000000,650000000,1530000000,-3667000000,,70.4,985000000,481000000,-124000000,-2000000,399000000,428000000,,2132000000,7000000,-3835000000,3999000000,2017-12-31,,20207000000,1407000000,6529000000,222000000,0.0,2017-10-27,12775000000,-648000000,990000000,-220000000,4736000000,3854000000,12508000000,2989000000,-85000000,3974000000,-108000000,-23713000000,Household & Personal Products,Consumer Defensive,CL
707,0.12976764576939925,0.024244833068362448,0.07614142538975499,0.059041095890411066,-0.04972191359626306,CL,1212000000,-171000000,1984000000,1535000000,155000000,35000000,-24000000,-135000000,439000000,-8000000,73.56,1466000000,1540000000,188000000,,129000000,,-335000000,0.0,2.0,1000000000,,18000000,0.75,0.0,0.75,,2218000000,2352000000,896000000,543000000,1341000000,-79000000,1221000000,196000000,6566000000,42000000,1,303000000,303000000,44000000,323000000,323000000,353000000,1480000000,-3619000000,,73.84,1000000000,364000000,-124000000,-8000000,385000000,555000000,,2459000000,8000000,-3860000000,4072000000,2018-03-31,,20531000000,1344000000,6577000000,18000000,0.0,2018-01-26,12676000000,-683000000,759000000,61000000,4639000000,3408000000,12433000000,2892000000,-104000000,3892000000,-60000000,-24041000000,Household & Personal Products,Consumer Defensive,CL
708,-0.09401360544217685,-0.05946327683615815,-0.13866252748674168,-0.07307906458797331,-0.00015018397565223264,CL,1209000000,-118000000,2047000000,851000000,-684000000,-211000000,-33000000,33000000,60000000,4000000,66.58,1466000000,1588000000,187000000,,129000000,,-352000000,1.0,2.0,987000000,,18000000,0.74,0.01,0.73,,2572000000,2414000000,924000000,246000000,1782000000,-35000000,1312000000,-38000000,6561000000,,1,350000000,350000000,147000000,634000000,634000000,678000000,1644000000,-4603000000,,65.89,987000000,411000000,,2000000,430000000,455000000,,2502000000,20000000,-3902000000,4087000000,2018-06-30,,20581000000,1407000000,6726000000,55000000,0.0139999995,2018-04-27,13144000000,-437000000,616000000,-881000000,4292000000,3980000000,13043000000,3015000000,-63000000,4002000000,-249000000,-24343000000,Household & Personal Products,Consumer Defensive,CL
709,,0.030264005151320106,-0.2377322534540257,-0.17568263781555904,0.051168286574399424,CLDR,,,,,,,,,,,16.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.16,,,,,,,,,,,,2017-07-31,,,,,,,2017-12-08,,,,,,,,,,,,,Software - Application,Technology,CLDR
