Underlying,quarter,1Year,1month,3month,6month,industry,sector,current_ratio,total_debt_equity_ratio,day_sales_outstanding,total_liabilities_total_assets,gross_margin,operating_margin,interest_coverage_ratio,net_profit_margin,roe,changeInCash,changeToLiabilities,changeToNetincome,changeToOperatingActivities,return_factor
UAA,9/30/2017,-0.492650786,-0.079963235,-0.054322154,-0.308223912,Apparel Manufacturing,Consumer Cyclical,2.232628091,0.523838766,190.4159958,0.491401849,0.461681897,0.107266214,0.107266214,0.038589514,0.107266214,0.357815056,0.001029725,2.677205855,0.459286395,down
UAA,12/31/2017,-0.469618617,-0.011445783,-0.103278689,-0.220427553,Apparel Manufacturing,Consumer Cyclical,2.204577626,0.52529126,162.9822076,0.496141517,0.432986587,0.000251948,0.000251948,-0.064393226,0.000251948,-0.089444866,0,2.914717925,11.88389938,down
UAA,3/31/2018,-0.341203704,-0.058862434,0.184845962,-0.232884097,Apparel Manufacturing,Consumer Cyclical,1.968027959,0.652741296,248.0033618,0.52683371,0.447899812,0.013745075,0.013745075,-0.025514396,0.013745075,-0.098539014,-0.029775833,8.4731517,11.88389938,up
UAA,6/30/2018,-0.173569102,0.10310559,0.222298692,0.084249084,Apparel Manufacturing,Consumer Cyclical,1.913864998,0.695665394,226.7450179,0.54637042,0.453266307,-0.01710418,-0.01710418,-0.081323801,-0.01710418,-0.436130821,0.097986398,-0.297192916,0.32864183,flat
UIS,9/30/2017,0.28296146,-0.023166023,0.081196581,-0.015564202,Information Technology Services,Technology,1.369614759,-0.565962412,280.3647006,1.718315991,0.193456401,0.037220471,0.037220471,-0.061683926,0.037220471,0.049774511,0.003293808,0.600973236,0.150278293,down
UIS,12/31/2017,-0.2,-0.061452514,-0.335968379,-0.282051282,Information Technology Services,Technology,1.430115274,-0.717206762,246.6494361,1.521751101,0.266783029,0.126879699,0.126879699,0.067803437,0.126879699,0.196348276,0.016516322,0.56039604,0.049333991,up
UIS,3/31/2018,-0.357692308,-0.034682081,0.037267081,0,Information Technology Services,Technology,1.490327631,-0.687235841,277.6658667,1.505549588,0.284020327,0.143704122,0.143704122,0.057312253,0.143704122,-0.123552712,-0.034377064,0.115763547,-0.394422311,up
UIS,6/30/2018,-0.051502146,0.0625,0.241573034,0.284883721,Information Technology Services,Technology,1.495442552,-0.65370443,285.6450405,1.524737441,0.229097992,0.080910998,0.080910998,0.005693737,0.080910998,-0.140167722,-0.006279391,-5.763157895,1.384615385,up
UNM,9/30/2017,0.499226246,0.043066322,0.0339381,0.048711842,Insurance - Life,Financial Services,7.327721563,0.121330144,219.8079174,0.851916051,0.291653365,0.144336845,0.144336845,0.089496648,0.144336845,-0.669044223,0,0.221561633,0.352232143,flat
UNM,12/31/2017,0.48015873,0.017338788,0.078034682,0.114621131,Insurance - Life,Financial Services,8.140261488,0.10863821,214.1379614,0.850422804,0.287933221,0.135742463,0.135742463,0.094005354,0.135742463,0.094315245,0,-0.189584114,0.284756528,flat
UNM,3/31/2018,0.170812239,-0.030441123,0.015076336,0.057034976,Insurance - Life,Financial Services,7.264035624,0.12056424,218.6148089,0.849243719,0.285280728,0.131500897,0.131500897,0.094323355,0.131500897,0.749433474,0,-0.295429616,0.185395132,flat
UNM,6/30/2018,0.027676464,0.015475938,-0.10750885,-0.086749285,Insurance - Life,Financial Services,8.480676329,0.109565549,216.4768363,0.848534312,0.290004498,0.137425181,0.137425181,0.098778673,0.137425181,-2.104522613,0,-0.320140105,0.397426192,down
UPS,9/30/2017,0.017396032,0.023889851,0.043393421,-0.040174374,Integrated Shipping & Logistics,Industrials,1.06106682,8.0629556,158.4682063,0.962786536,0.237138566,0.127362624,0.127362624,0.079108775,0.127362624,-0.036863663,0.003089133,0.318037975,-0.135781859,down
