,Underlying,timestamp,quarter
304,BEAT,2018-04-26,2018-06-30
305,BEN,2017-07-28,2017-09-30
306,BEN,2017-10-26,2017-12-31
307,BEN,2018-01-30,2018-03-31
308,BEN,2018-04-26,2018-06-30
309,BERY,2017-08-03,2017-09-30
311,BERY,2018-02-07,2018-03-31
312,BERY,2018-05-03,2018-06-30
313,BFR,2018-02-23,2017-09-30
314,BFR,2018-06-05,2017-12-31
317,BG,2017-08-02,2017-09-30
318,BG,2017-11-01,2017-12-31
319,BG,2018-02-14,2018-03-31
320,BG,2018-05-02,2018-06-30
321,BGCP,2017-07-26,2017-09-30
322,BGCP,2017-10-26,2017-12-31
323,BGCP,2018-02-09,2018-03-31
324,BGCP,2018-05-03,2018-06-30
337,BIIB,2017-07-25,2017-09-30
338,BIIB,2017-10-24,2017-12-31
339,BIIB,2018-01-25,2018-03-31
340,BIIB,2018-04-24,2018-06-30
345,BK,2017-07-20,2017-09-30
347,BK,2018-01-18,2018-03-31
348,BK,2018-04-19,2018-06-30
349,BKNG,2017-08-09,2017-09-30
350,BKNG,2017-11-07,2017-12-31
351,BKNG,2018-02-28,2018-03-31
352,BKNG,2018-05-10,2018-06-30
357,BLD,2017-08-08,2017-09-30
358,BLD,2017-11-07,2017-12-31
359,BLD,2018-02-27,2018-03-31
360,BLD,2018-05-08,2018-06-30
361,BLDP,2017-08-03,2017-09-30
363,BLDP,2018-03-01,2018-03-31
364,BLDP,2018-05-02,2018-06-30
365,BLK,2017-07-17,2017-09-30
366,BLK,2017-10-11,2017-12-31
367,BLK,2018-01-12,2018-03-31
368,BLK,2018-04-12,2018-06-30
369,BLUE,2017-08-03,2017-09-30
370,BLUE,2017-11-01,2017-12-31
371,BLUE,2018-02-22,2018-03-31
373,BLX,2017-07-21,2017-09-30
374,BLX,2017-10-20,2017-12-31
375,BLX,2018-02-09,2018-03-31
376,BLX,2018-04-20,2018-06-30
377,BMA,2017-11-09,2017-09-30
378,BMA,2018-02-20,2017-12-31
381,BMRN,2017-08-03,2017-09-30
382,BMRN,2017-10-27,2017-12-31
383,BMRN,2018-02-23,2018-03-31
384,BMRN,2018-04-26,2018-06-30
385,BMY,2017-07-27,2017-09-30
386,BMY,2017-10-26,2017-12-31
387,BMY,2018-02-05,2018-03-31
388,BMY,2018-04-26,2018-06-30
389,BOX,2017-08-31,2017-10-31
391,BOX,2018-03-01,2018-04-30
392,BOX,2018-05-31,2018-07-31
393,BP,2017-08-01,2017-09-30
394,BP,2017-10-31,2017-12-31
395,BP,2018-02-06,2018-03-31
397,BPL,2017-08-04,2017-09-30
399,BPL,2018-02-09,2018-03-31
400,BPL,2018-05-04,2018-06-30
401,BSX,2017-07-27,2017-09-30
402,BSX,2017-10-26,2017-12-31
408,BTE,2017-08-01,2017-09-30
421,BWA,2017-07-27,2017-09-30
422,BWA,2017-10-26,2017-12-31
423,BWA,2018-02-08,2018-03-31
424,BWA,2018-04-26,2018-06-30
425,BX,2017-07-20,2017-09-30
426,BX,2017-10-19,2017-12-31
427,BX,2018-02-01,2018-03-31
428,BX,2018-04-19,2018-06-30
433,C,2017-07-14,2017-09-30
434,C,2017-10-12,2017-12-31
435,C,2018-01-16,2018-03-31
436,C,2018-04-13,2018-06-30
441,CAH,2017-08-02,2017-09-30
442,CAH,2017-11-06,2017-12-31
443,CAH,2018-02-08,2018-03-31
444,CAH,2018-05-03,2018-06-30
445,CAI,2017-07-27,2017-09-30
446,CAI,2017-10-20,2017-12-31
447,CAI,2018-02-15,2018-03-31
448,CAI,2018-04-27,2018-06-30
464,CARA,2018-05-10,2018-06-30
469,CASY,2017-12-12,2017-07-31
470,CASY,2018-03-07,2017-10-31
473,CAT,2017-07-25,2017-09-30
474,CAT,2017-10-24,2017-12-31
475,CAT,2018-01-25,2018-03-31
476,CAT,2018-04-24,2018-06-30
477,CBOE,2017-08-04,2017-09-30
478,CBOE,2017-11-07,2017-12-31
479,CBOE,2018-02-09,2018-03-31
480,CBOE,2018-05-04,2018-06-30
483,CBPO,2017-08-03,2017-09-30
484,CBPO,2017-11-02,2017-12-31
489,CBS,2017-08-08,2017-09-30
490,CBS,2017-11-03,2017-12-31
491,CBS,2018-02-16,2018-03-31
497,CCI,2017-07-20,2017-09-30
498,CCI,2017-10-19,2017-12-31
499,CCI,2018-01-25,2018-03-31
500,CCI,2018-04-19,2018-06-30
503,CCJ,2017-07-27,2017-09-30
504,CCJ,2017-10-27,2017-12-31
505,CCL,2017-12-19,2017-08-31
506,CCL,2018-03-22,2017-11-30
509,CDNS,2017-07-25,2017-09-30
511,CDNS,2018-02-01,2018-03-31
512,CDNS,2018-04-24,2018-06-30
517,CELG,2017-07-27,2017-09-30
518,CELG,2017-10-26,2017-12-31
519,CELG,2018-01-25,2018-03-31
520,CELG,2018-05-04,2018-06-30
521,CENX,2017-08-03,2017-09-30
522,CENX,2017-10-27,2017-12-31
523,CENX,2018-02-23,2018-03-31
524,CENX,2018-05-04,2018-06-30
525,CEQP,2017-08-01,2017-09-30
526,CEQP,2017-10-31,2017-12-31
527,CEQP,2018-02-20,2018-03-31
528,CEQP,2018-05-01,2018-06-30
529,CERN,2017-07-28,2017-09-30
531,CERN,2018-02-07,2018-03-31
532,CERN,2018-05-03,2018-06-30
537,CG,2017-08-02,2017-09-30
538,CG,2017-10-31,2017-12-31
539,CG,2018-02-07,2018-03-31
540,CG,2018-05-01,2018-06-30
541,CHGG,2017-07-26,2017-09-30
542,CHGG,2017-10-31,2017-12-31
543,CHGG,2018-02-13,2018-03-31
544,CHGG,2018-04-27,2018-06-30
545,CHK,2017-08-03,2017-09-30
546,CHK,2017-11-02,2017-12-31
547,CHK,2018-02-22,2018-03-31
548,CHK,2018-05-02,2018-06-30
553,CHTR,2017-07-27,2017-09-30
554,CHTR,2017-10-26,2017-12-31
555,CHTR,2018-02-02,2018-03-31
556,CHTR,2018-04-27,2018-06-30
557,CI,2017-08-04,2017-09-30
558,CI,2017-11-02,2017-12-31
559,CI,2018-02-01,2018-03-31
560,CI,2018-05-03,2018-06-30
561,CIEN,2017-08-31,2017-10-31
563,CIEN,2018-03-06,2018-04-30
564,CIEN,2018-05-31,2018-07-31
565,CIM,2017-08-02,2017-09-30
566,CIM,2017-11-02,2017-12-31
567,CIM,2018-02-14,2018-03-31
568,CIM,2018-05-03,2018-06-30
569,CL,2017-07-21,2017-09-30
570,CL,2017-10-27,2017-12-31
571,CL,2018-01-26,2018-03-31
572,CL,2018-04-27,2018-06-30
581,CLNE,2017-08-04,2017-09-30
582,CLNE,2017-11-03,2017-12-31
583,CLNE,2018-03-14,2018-03-31
584,CLNE,2018-05-11,2018-06-30
585,CLR,2017-08-09,2017-09-30
586,CLR,2017-11-08,2017-12-31
587,CLR,2018-02-22,2018-03-31
588,CLR,2018-05-03,2018-06-30
589,CLVS,2017-08-03,2017-09-30
591,CLVS,2018-02-27,2018-03-31
592,CLVS,2018-05-09,2018-06-30
593,CLX,2017-08-03,2017-09-30
594,CLX,2017-11-01,2017-12-31
595,CLX,2018-02-02,2018-03-31
596,CLX,2018-05-02,2018-06-30
605,CMCSA,2017-07-27,2017-09-30
606,CMCSA,2017-10-26,2017-12-31
607,CMCSA,2018-01-24,2018-03-31
608,CMCSA,2018-04-25,2018-06-30
609,CME,2017-08-01,2017-09-30
610,CME,2017-10-26,2017-12-31
611,CME,2018-02-01,2018-03-31
612,CME,2018-04-26,2018-06-30
613,CMG,2017-07-26,2017-09-30
614,CMG,2017-10-25,2017-12-31
615,CMG,2018-02-07,2018-03-31
616,CMG,2018-04-26,2018-06-30
618,CMI,2017-10-31,2017-12-31
622,CNAT,2017-11-02,2017-12-31
623,CNAT,2018-03-08,2018-03-31
624,CNAT,2018-05-03,2018-06-30
625,CNC,2017-07-25,2017-09-30
626,CNC,2017-10-24,2017-12-31
627,CNC,2018-02-06,2018-03-31
628,CNC,2018-04-24,2018-06-30
631,CNDT,2018-02-21,2018-03-31
632,CNDT,2018-05-09,2018-06-30
635,CNQ,2017-08-03,2017-09-30
641,COG,2017-07-28,2017-09-30
642,COG,2017-10-27,2017-12-31
643,COG,2018-02-23,2018-03-31
644,COG,2018-04-27,2018-06-30
645,COL,2017-07-28,2017-09-30
646,COL,2017-10-27,2017-12-31
647,COL,2018-01-26,2018-03-31
648,COL,2018-04-27,2018-06-30
653,CONN,2017-12-07,2017-07-31
654,CONN,2018-04-05,2017-10-31
657,COO,2017-09-01,2017-10-31
658,COO,2017-12-08,2018-01-31
659,COO,2018-03-09,2018-04-30
661,COP,2017-07-27,2017-09-30
662,COP,2017-10-26,2017-12-31
663,COP,2018-02-01,2018-03-31
664,COP,2018-04-26,2018-06-30
665,CORT,2017-08-02,2017-09-30
666,CORT,2017-11-03,2017-12-31
667,CORT,2018-02-23,2018-03-31
668,CORT,2018-05-09,2018-06-30
673,COTY,2017-08-22,2017-09-30
674,COTY,2017-11-09,2017-12-31
675,COTY,2018-02-08,2018-03-31
676,COTY,2018-05-09,2018-06-30
681,CPA,2017-08-10,2017-09-30
