,1Year,1month,3month,6month,PostEarningsReturn,Underlying,accountsPayable,capitalExpenditures,capitalSurplus,cash,changeInCash,changeToAccountReceivables,changeToInventory,changeToLiabilities,changeToNetincome,changeToOperatingActivities,close,commonStock,costOfRevenue,deferredLongTermAssetCharges,deferredLongTermLiab,depreciation,discontinuedOperations,dividendsPaid,ebit,effectOfAccountingCharges,effectOfExchangeRate,epsActual,epsDifference,epsEstimate,extraordinaryItems,goodWill,grossProfit,incomeBeforeTax,incomeTaxExpense,intangibleAssets,interestExpense,inventory,investments,longTermDebt,longTermInvestments,maxAge,minorityInterest,minorityInterest_balance,netBorrowings,netIncome,netIncomeApplicableToCommonShares,netIncomeFromContinuingOps,netReceivables,netTangibleAssets,nonRecurring,open,operatingIncome,otherAssets,otherCashflowsFromFinancingActivities,otherCashflowsFromInvestingActivities,otherCurrentAssets,otherCurrentLiab,otherItems,otherLiab,otherOperatingExpenses,otherStockholderEquity,propertyPlantEquipment,quarter,researchDevelopment,retainedEarnings,sellingGeneralAdministrative,shortLongTermDebt,shortTermInvestments,surprisePercent,timestamp,totalAssets,totalCashFromFinancingActivities,totalCashFromOperatingActivities,totalCashflowsFromInvestingActivities,totalCurrentAssets,totalCurrentLiabilities,totalLiab,totalOperatingExpenses,totalOtherIncomeExpenseNet,totalRevenue,totalStockholderEquity,treasuryStock
0,0.2696245733788398,0.032818395386915444,0.1153136531365313,0.2635429367705977,-0.01465049637362896,ABMD,16667000,-7871000,592081000,44536000,566000,-3619000,-4061000,5561000,18608000,-692000,142.97,442000,21627000,106798000,16016000,2857000,,,32143000,,-346000,0.54,0.16,0.38,,34332000,111196000,32484000,7981000,,,40632000,-35514000,,68554000,1,,,-193000,24503000,24503000,24503000,57327000,570554000,,144.02,32143000,123900000,-19237000,,,11538000,,11299000,,-11802000,97697000,2017-09-30,18973000,90164000,60080000,15961000,218661000,0.42099997,2017-07-27,694653000,1140000,43157000,-43385000,370170000,63358000,89767000,100680000,341000,132823000,604886000,-77801000
1,0.40501762728539803,0.04672611776203284,0.19864307197314135,0.3089673082798656,0.046851513357887294,ABMD,21991000,-26493000,605697000,50502000,5966000,-7518000,-6611000,3498000,44217000,6884000,179.59,443000,24994000,75201000,16241000,2780000,,,45354000,,-622000,0.29,-0.22,0.51,,34814000,129028000,45654000,32208000,,,46891000,-25221000,,62085000,1,,,-140000,13446000,13446000,13446000,64862000,597668000,,177.0,45354000,92528000,19237000,,,12807000,,11767000,,-10646000,107977000,2017-12-31,17118000,103610000,66556000,,250751000,-0.431,2017-10-26,719602000,1606000,56696000,-51714000,422198000,75353000,87120000,108668000,300000,154022000,632482000,-77268000
2,1.2092695308827675,0.22084264117616503,0.30933808780922667,0.60103556342826,0.07431767660797466,ABMD,23565000,-11695000,619905000,42975000,-7527000,-4947000,-3712000,4977000,19914000,415000,253.13,444000,30098000,70746000,16705000,2905000,,,47634000,,1978000,0.8,0.16,0.64,,35808000,144338000,48507000,11660000,,,50204000,-56760000,,50102000,1,,,,36847000,36847000,36847000,70010000,653716000,,238.0,47634000,89027000,-20317000,,,16301000,,12169000,,-4204000,117167000,2018-03-31,21203000,140457000,75501000,,319274000,0.25,2018-02-01,786375000,2551000,56399000,-68455000,494271000,84682000,96851000,126802000,873000,174436000,689524000,-71282000
3,1.2500744712540959,0.047170138287179864,0.28570212765957437,0.6834187653220414,0.10494009234826517,ABMD,25673000,-15147000,637974000,61288000,18313000,1930000,-7794000,-168000,-31655000,-8707000,335.57,449000,30850000,115049000,15837000,2959000,,,46589000,,-1285000,1.95,1.13,0.82,,33948000,149160000,48487000,-41579000,,,55781000,49914000,,20687000,1,,,,90066000,90066000,90066000,67511000,689411000,,310.0,46589000,132783000,,,,13161000,,12002000,,-10913000,127324000,2018-06-30,21432000,230523000,81139000,,299228000,1.378,2018-05-03,812039000,-61800000,46631000,34767000,497297000,76678000,88680000,133421000,1898000,180010000,723359000,-145587000
0,0.133793103448276,-0.012019230769230727,-0.022592152199762183,0.11231393775372145,0.008479760079114773,ABR,,,702240622,84751397,3992008,,,0,45960031,4017822,8.29,617026,10189681,,,11698817,,-12995777,0,,,0.26,0.08,0.18,,,70005596,30678572,6708000,371042475,,,-8509626,1686512020,210195534,1,165241301,165241301,120530110,18309388,16420958,23970572,1854862678,467826879,,8.3,33899211,66430666,40819035,-17618499,470406365,,,132751110,9082936,205761,,2017-09-30,,-112069714,25194433,2079683543,,0.444,2017-08-04,3058177862,148353368,79986058,-224347418,2410509187,393171523,2212434653,46296066,-3220639,80195277,590993695,205761
1,0.13636363636363646,-0.023668639053254337,-0.004825090470446214,-0.04403244495944392,0.035718082602079246,ABR,,,707450000,104374000,-9565000,,,0,-5975000,-18961000,8.55,617000,10244000,,,17656000,,-14850000,0,,,0.35,0.12,0.23,,,60858000,28397000,-2885000,374374000,,,-8158000,2631065000,51490000,1,168731000,168731000,148786000,23758000,21870000,31282000,2579815000,484551000,,8.48,33103000,79051000,-8338000,-58836000,436841000,,,130324000,647000,176000,,2017-12-31,,-101926000,25265000,2631065000,,0.522,2017-11-03,3625945000,128612000,20797000,-158974000,3121030000,,2761389000,37999000,-4706000,71102000,606317000,176000
2,0.1260162601626018,-0.023501762632197387,-0.03259604190919663,0.03745318352059934,0.023782333717925774,ABR,,,713001000,102548000,-9565000,,,0,-5975000,-18961000,8.51,625000,11711000,,,17656000,,-14850000,0,,,0.42,0.18,0.24,,,72327000,28284000,-8784000,376098000,,,-8158000,2340951000,249261000,1,173264000,173264000,148786000,28077000,26189000,37068000,2516944000,504732000,,8.55,32349000,83170000,-8338000,-58836000,417984000,,,110236000,8638000,,,2018-03-31,,-88528000,29494000,2750662000,,0.75,2018-02-23,3748768000,128612000,20797000,-158974000,3040239000,409711000,2860898000,51689000,-4065000,84038000,625098000,
3,0.03415783274440498,0.0011402508551880963,0.08529048207663781,0.061668681983071405,0.042369771039013675,ABR,,,766933000,106968000,46447000,,,0,-33389000,-5346000,9.16,686000,11729000,,,17495000,,-17654000,0,,,0.25,-0.02,0.27,,,71036000,29111000,4499000,375986000,,,-12613000,2647466000,226090000,1,173513000,173513000,384440000,19055000,17167000,24612000,2923356000,561526000,,8.8,32991000,84626000,-11970000,7854000,485173000,,,115192000,9385000,,,2018-06-30,,-87128000,26815000,3145616000,,-0.074,2018-05-04,4204320000,407709000,-2184000,-359078000,3517618000,498150000,3260808000,49774000,-3880000,82765000,680491000,
0,0.1825358851674641,0.01353290957555875,0.13397568249598524,0.21270853778213938,0.028322595175701164,ABT,1858000000,-263000000,,11012000000,1337000000,-113000000,166000000,0,81000000,512000000,50.85,23118000000,2837000000,1565000000,,756000000,42000000,-463000000,830000000,,24000000,0.66,0.01,0.65,,22066000000,3992000000,626000000,65000000,18578000000,-218000000,3483000000,-70000000,23363000000,1033000000,1,186000000,186000000,4000000,603000000,601000000,561000000,4800000000,-8612000000,,49.68,830000000,1975000000,-8000000,56000000,220000000,871000000,,8732000000,,-6116000000,7219000000,2017-09-30,562000000,25320000000,2099000000,24078000000,187000000,0.015,2017-07-20,72248000000,-386000000,2005000000,-306000000,21377000000,7935000000,40030000000,5999000000,-204000000,6829000000,32032000000,-16406000000
1,0.3564917467356492,0.07099786033845557,0.11389844224155365,0.26313374627208064,0.012812590687001154,ABT,2402000000,-275000000,,9407000000,-5550000000,-53000000,-171000000,0,244000000,-182000000,55.77,23206000000,3129000000,1944000000,,852000000,36000000,-491000000,1181000000,,35000000,0.74,0.01,0.73,,24020000000,4460000000,574000000,1438000000,21473000000,-206000000,3601000000,-5000000,27210000000,883000000,1,201000000,201000000,-5973000000,-828000000,-828000000,-864000000,5249000000,-14596000000,,55.18,1181000000,2120000000,,42000000,158000000,798000000,,9030000000,,-6062000000,7607000000,2017-12-31,523000000,23978000000,2196000000,27924000000,203000000,0.0139999995,2017-10-18,76250000000,-6455000000,1108000000,-238000000,20147000000,8912000000,45152000000,6408000000,-607000000,7589000000,30897000000,-16287000000
2,0.46826970748636576,0.04040049183207439,0.05166903409090895,0.16594488188976375,0.041179857206086225,ABT,2476000000,-275000000,,3857000000,-5550000000,-53000000,-171000000,0,244000000,-182000000,61.72,23223000000,3024000000,2082000000,,852000000,9000000,-491000000,685000000,,35000000,0.59,0.01,0.58,,24227000000,4366000000,431000000,22000000,20943000000,-227000000,3826000000,-5000000,21353000000,547000000,1,202000000,202000000,-5973000000,418000000,414000000,409000000,5356000000,-13771000000,,61.0,685000000,2568000000,,42000000,86000000,930000000,,8944000000,,-5733000000,7659000000,2018-03-31,579000000,23856000000,2518000000,22090000000,185000000,0.017,2018-01-24,70908000000,-6455000000,1108000000,-238000000,14964000000,9010000000,39307000000,6705000000,-254000000,7390000000,31399000000,-15680000000
3,0.38074347725698443,-0.0395117250240925,0.0232717316906228,0.09423604757548021,-0.0046932704317495565,ABT,2503000000,-298000000,,3065000000,-792000000,-84000000,-165000000,0,101000000,-191000000,59.52,23317000000,3282000000,2005000000,,850000000,15000000,-494000000,882000000,,-106000000,0.73,0.02,0.71,,23844000000,4485000000,777000000,59000000,19951000000,-210000000,3714000000,-37000000,20053000000,600000000,1,197000000,197000000,-1167000000,733000000,730000000,718000000,5192000000,-13218000000,,59.0,882000000,2466000000,,-12000000,255000000,841000000,,8637000000,,-6913000000,7432000000,2018-06-30,575000000,24080000000,2466000000,20900000000,199000000,0.027999999,2018-04-18,68415000000,-1631000000,1244000000,-299000000,14122000000,8951000000,37641000000,6885000000,-105000000,7767000000,30577000000,-16820000000
0,0.5272851296043657,0.10105729038603384,0.19860813704496794,-0.04438753734528378,0.04241072734936271,AMTD,28383000000,-56000000,3369000000,1472000000,-1408000000,-438000000,,-222000000,13000000,421000000,46.72,7000000,71000000,,,50000000,,-94000000,0,,,0.39,-0.07,0.46,,4213000000,889000000,338000000,127000000,1470000000,,,-62000000,2555000000,649000000,1,,,-288000000,211000000,211000000,211000000,18796000000,1564000000,,46.0,434000000,230000000,-54000000,,5000000,111000000,,193000000,26000000,-24000000,752000000,2017-09-30,,6011000000,379000000,2655000000,11014000000,-0.152,2017-07-18,38627000000,-37000000,35000000,-1406000000,31313000000,28632000000,31380000000,526000000,-96000000,960000000,7247000000,-2140000000
1,0.29827400215749744,0.02578308118474326,0.02490951671279551,0.233094262295082,0.03790957307322019,AMTD,28812000000,-63000000,3375000000,1644000000,172000000,-1385000000,,612000000,13000000,5000000,50.0,7000000,99000000,,,72000000,,-119000000,0,,,0.8,0.3,0.5,,4197000000,1138000000,303000000,6000000,1432000000,,,708000000,2531000000,2000000,1,,,50000000,297000000,297000000,297000000,20287000000,1804000000,,49.71,494000000,325000000,2000000,,,279000000,,182000000,31000000,-19000000,780000000,2017-12-31,,6189000000,541000000,2695000000,10729000000,0.6,2017-10-24,39412000000,-75000000,-386000000,633000000,32676000000,29266000000,31979000000,743000000,-191000000,1237000000,7433000000,-2138000000
