,1Year,1month,3month,6month,PostEarningsReturn,Underlying,accountsPayable,capitalExpenditures,capitalSurplus,cash,changeInCash,changeToAccountReceivables,changeToInventory,changeToLiabilities,changeToNetincome,changeToOperatingActivities,close,commonStock,costOfRevenue,deferredLongTermAssetCharges,deferredLongTermLiab,depreciation,discontinuedOperations,dividendsPaid,ebit,effectOfAccountingCharges,effectOfExchangeRate,epsActual,epsDifference,epsEstimate,extraordinaryItems,goodWill,grossProfit,incomeBeforeTax,incomeTaxExpense,intangibleAssets,interestExpense,inventory,investments,longTermDebt,longTermInvestments,maxAge,minorityInterest,minorityInterest_balance,netBorrowings,netIncome,netIncomeApplicableToCommonShares,netIncomeFromContinuingOps,netReceivables,netTangibleAssets,nonRecurring,open,operatingIncome,otherAssets,otherCashflowsFromFinancingActivities,otherCashflowsFromInvestingActivities,otherCurrentAssets,otherCurrentLiab,otherItems,otherLiab,otherOperatingExpenses,otherStockholderEquity,propertyPlantEquipment,quarter,researchDevelopment,retainedEarnings,sellingGeneralAdministrative,shortLongTermDebt,shortTermInvestments,surprisePercent,timestamp,totalAssets,totalCashFromFinancingActivities,totalCashFromOperatingActivities,totalCashflowsFromInvestingActivities,totalCurrentAssets,totalCurrentLiabilities,totalLiab,totalOperatingExpenses,totalOtherIncomeExpenseNet,totalRevenue,totalStockholderEquity,treasuryStock
0,-0.34144578313253016,0.07450363672105365,-0.2504628042509428,-0.32680583779789396,-0.22745212469352058,AAP,,,,,,,,,,,87.08,,,,,,,,,,,1.43,0.22,1.21,,,,,,,,,,,,,,,,,,,,,,91.99,,,,,,,,,,,,2017-09-30,,,,,,0.18200001,2017-08-15,,,,,,,,,,,,
1,-0.43262998207143843,-0.04336705034298338,-0.05512172714745056,-0.43352839931153186,0.1512991982554161,AAP,,,,,,,,,,,95.72,,,,,,,,,,,0.77,0.14,0.63,,,,,,,,,,,,,,,,,,,,,,94.88,,,,,,,,,,,,2017-12-31,,,,,,0.222,2017-11-14,,,,,,,,,,,,
2,-0.34800099022156217,-0.10743031432686612,0.16408839779005513,0.1296375723782972,0.0789103081442974,AAP,,,,,,,,,,,114.0,,,,,,,,,,,2.1,0.13,1.97,,,,,,,,,,,,,,,,,,,,,,116.96,,,,,,,,,,,,2018-03-31,,,,,,0.066,2018-02-21,,,,,,,,,,,,
3,-0.21337558592460548,0.12916982562547386,0.13099193165638368,0.31657458563535923,-0.032585619306903894,AAP,,,,,,,,,,,115.33,,,,,,,,,,,1.97,0.11,1.86,,,,,,,,,,,,,,,,,,,,,,123.55,,,,,,,,,,,,2018-06-30,,,,,,0.059,2018-05-22,,,,,,,,,,,,
0,0.41489863272041494,0.045644599303136024,0.017219171581587922,0.23650597445405874,0.04616855586129919,AAPL,49049000000,-3865000000,,20289000000,1718000000,-5474000000,-1709000000,14622000000,2352000000,-7333000000,157.14,35867000000,32648000000,,,2484000000,,-3270000000,13120000000,,,2.07,0.2,1.87,,5717000000,19931000000,13917000000,3203000000,2298000000,-666000000,4855000000,-5768000000,97207000000,194714000000,1,,,6923000000,10714000000,10714000000,10714000000,35673000000,126032000000,,159.28,13120000000,10162000000,93000000,-93000000,13718000000,7583000000,,43251000000,,-150000000,33783000000,2017-09-30,2997000000,98330000000,3814000000,115680000000,53892000000,0.107,2017-08-02,375319000000,-3996000000,15656000000,-9942000000,128645000000,100814000000,241272000000,39459000000,797000000,52579000000,134047000000,-150000000
1,0.5064969979388836,0.08185854945620719,0.07494085299571607,0.12855800214822777,0.025778709426447093,AAPL,,,,,,,,,,,172.5,,,,,,,,,,,3.89,0.03,3.86,,,,,,,,,,,,,,,,,,,,,,174.0,,,,,,,,,,,,2017-12-31,,,,,,0.008,2017-11-03,,,,,,,,,,,,
2,0.3031456310679612,-0.025837542820646764,-0.007453857075248371,0.0677103220058548,-0.04435965484807803,AAPL,34311000000,-4195000000,,45059000000,17568000000,9093000000,-3241000000,-28121000000,710000000,20128000000,160.5,38044000000,37715000000,,,2739000000,,-3190000000,15894000000,,,2.73,0.06,2.67,,,23422000000,16168000000,2346000000,,-792000000,7662000000,32894000000,101362000000,179286000000,1,,,-501000000,13822000000,13822000000,13822000000,22408000000,126878000000,,166.0,15894000000,23086000000,,-11000000,12043000000,7775000000,,49942000000,,-3064000000,35077000000,2018-03-31,3378000000,91898000000,4150000000,121840000000,42881000000,0.022,2018-02-02,367502000000,-26272000000,15130000000,28710000000,130053000000,89320000000,240624000000,45243000000,274000000,61137000000,126878000000,-3064000000
3,0.15363623959612482,0.004216402399192409,0.01275678265556679,0.037105182459368224,0.04322714241017229,AAPL,38489000000,-3267000000,,31971000000,-13088000000,233000000,1693000000,1500000000,2218000000,-5340000000,176.57,38624000000,32844000000,,,2665000000,,-3653000000,12612000000,,,2.34,0.16,2.18,,,20421000000,13284000000,1765000000,,-846000000,5936000000,7916000000,97128000000,172773000000,1,,,-6011000000,11519000000,11519000000,11519000000,26367000000,114949000000,,175.225,12612000000,22546000000,,-576000000,12488000000,7403000000,,48572000000,,-3111000000,38117000000,2018-06-30,3701000000,79436000000,4108000000,114600000000,38999000000,0.073,2018-05-02,349197000000,-31523000000,14488000000,3947000000,115761000000,88548000000,234248000000,40653000000,672000000,53265000000,114949000000,-3111000000
0,-0.11934585942936671,-0.0003949447077409296,0.005162827640984968,-0.055949272659455485,-0.09483617126329603,AAXN,12354000,-3331000,197978000,43471000,15433000,-21527000,6694000,7491000,1031000,10223000,23.02,1000,40497000,22845000,,2277000,,,-799000,,1561000,0.01,-0.03,0.04,,14923000,49765000,631000,209000,20758000,-200000,52692000,15256000,,,1,,,-9000,422000,422000,422000,51204000,130399000,,24.3,-799000,71922000,-1750000,,,71107000,,61436000,,-1208000,31263000,2017-09-30,14166000,125256000,36398000,,18372000,-0.75,2017-08-09,327607000,-253000,6611000,7514000,188741000,100091000,161527000,91061000,1430000,90262000,166080000,-157155000
1,0.02558348294434465,-0.040722082283795036,-0.007384882710686269,-0.12952380952380949,-0.06415930785472809,AAXN,8592000,-1347000,201672000,75105000,31634000,-9278000,7328000,11432000,12296000,2254000,21.43,1000,31635000,15755000,6803000,2364000,,,8648000,,32000,0.13,0.16,-0.03,,14927000,63016000,7066000,9137000,18823000,-200000,45465000,11447000,41000,,1,,,-9000,-2071000,-2071000,-2071000,56064000,133694000,,22.62,8648000,67998000,-1750000,,,79058000,,62677000,,-1467000,31172000,2017-12-31,14755000,123185000,39613000,41000,6862000,5.3329997,2017-11-08,338112000,-2254000,24325000,9531000,205192000,107950000,170668000,86003000,-1582000,94651000,167444000,-157414000
